material_family,property,field,records_with_value,records_total,coverage_fraction
CNT_metal_composite,density,density_kg_m3,14,25,0.56
CNT_metal_composite,specific_volume,specific_volume_m3_kg,14,25,0.56
CNT_metal_composite,diameter,diameter_m,13,25,0.52
CNT_metal_composite,linear_density,linear_density_kg_m,0,25,0.0
CNT_metal_composite,specific_strength,specific_strength_N_m_kg,6,25,0.24
CNT_metal_composite,tensile_strength,tensile_strength_Pa,8,25,0.32
CNT_metal_composite,specific_modulus,specific_modulus_N_m_kg,0,25,0.0
CNT_metal_composite,initial_modulus,initial_modulus_Pa,4,25,0.16
CNT_metal_composite,breaking_strain,breaking_strain_fraction,1,25,0.04
CNT_metal_composite,work_of_rupture,rupture_work_J_kg,0,25,0.0
CNT_metal_composite,electrical_conductivity,electrical_conductivity_S_m,16,25,0.64
CNT_metal_composite,specific_electrical_conductivity,specific_electrical_conductivity_S_m2_kg,14,25,0.56
CNT_metal_composite,thermal_conductivity,thermal_conductivity_W_mK,0,25,0.0
CNT_metal_composite,specific_thermal_conductivity,specific_thermal_conductivity_W_m2_K_kg,0,25,0.0
CNT_metal_composite,g_d_ratio,g_d_ratio,0,25,0.0
CNT_metal_composite,ampacity,ampacity_A_m2,16,25,0.64
CNT_or_CNT_hybrid,density,density_kg_m3,460,1101,0.4178
CNT_or_CNT_hybrid,specific_volume,specific_volume_m3_kg,460,1101,0.4178
CNT_or_CNT_hybrid,diameter,diameter_m,358,1101,0.3252
CNT_or_CNT_hybrid,linear_density,linear_density_kg_m,12,1101,0.0109
CNT_or_CNT_hybrid,specific_strength,specific_strength_N_m_kg,325,1101,0.2952
CNT_or_CNT_hybrid,tensile_strength,tensile_strength_Pa,520,1101,0.4723
CNT_or_CNT_hybrid,specific_modulus,specific_modulus_N_m_kg,45,1101,0.0409
CNT_or_CNT_hybrid,initial_modulus,initial_modulus_Pa,299,1101,0.2716
CNT_or_CNT_hybrid,breaking_strain,breaking_strain_fraction,36,1101,0.0327
CNT_or_CNT_hybrid,work_of_rupture,rupture_work_J_kg,67,1101,0.0609
CNT_or_CNT_hybrid,electrical_conductivity,electrical_conductivity_S_m,782,1101,0.7103
CNT_or_CNT_hybrid,specific_electrical_conductivity,specific_electrical_conductivity_S_m2_kg,361,1101,0.3279
CNT_or_CNT_hybrid,thermal_conductivity,thermal_conductivity_W_mK,160,1101,0.1453
CNT_or_CNT_hybrid,specific_thermal_conductivity,specific_thermal_conductivity_W_m2_K_kg,83,1101,0.0754
CNT_or_CNT_hybrid,g_d_ratio,g_d_ratio,387,1101,0.3515
CNT_or_CNT_hybrid,ampacity,ampacity_A_m2,47,1101,0.0427
carbon_fiber_comparator,density,density_kg_m3,93,155,0.6
carbon_fiber_comparator,specific_volume,specific_volume_m3_kg,93,155,0.6
carbon_fiber_comparator,diameter,diameter_m,63,155,0.4065
carbon_fiber_comparator,linear_density,linear_density_kg_m,38,155,0.2452
carbon_fiber_comparator,specific_strength,specific_strength_N_m_kg,79,155,0.5097
carbon_fiber_comparator,tensile_strength,tensile_strength_Pa,50,155,0.3226
carbon_fiber_comparator,specific_modulus,specific_modulus_N_m_kg,64,155,0.4129
carbon_fiber_comparator,initial_modulus,initial_modulus_Pa,49,155,0.3161
carbon_fiber_comparator,breaking_strain,breaking_strain_fraction,63,155,0.4065
carbon_fiber_comparator,work_of_rupture,rupture_work_J_kg,17,155,0.1097
carbon_fiber_comparator,electrical_conductivity,electrical_conductivity_S_m,107,155,0.6903
carbon_fiber_comparator,specific_electrical_conductivity,specific_electrical_conductivity_S_m2_kg,76,155,0.4903
carbon_fiber_comparator,thermal_conductivity,thermal_conductivity_W_mK,80,155,0.5161
carbon_fiber_comparator,specific_thermal_conductivity,specific_thermal_conductivity_W_m2_K_kg,69,155,0.4452
carbon_fiber_comparator,g_d_ratio,g_d_ratio,0,155,0.0
carbon_fiber_comparator,ampacity,ampacity_A_m2,13,155,0.0839
ceramic_or_glass_comparator,density,density_kg_m3,5,5,1.0
ceramic_or_glass_comparator,specific_volume,specific_volume_m3_kg,5,5,1.0
ceramic_or_glass_comparator,diameter,diameter_m,0,5,0.0
ceramic_or_glass_comparator,linear_density,linear_density_kg_m,0,5,0.0
ceramic_or_glass_comparator,specific_strength,specific_strength_N_m_kg,5,5,1.0
ceramic_or_glass_comparator,tensile_strength,tensile_strength_Pa,5,5,1.0
ceramic_or_glass_comparator,specific_modulus,specific_modulus_N_m_kg,5,5,1.0
ceramic_or_glass_comparator,initial_modulus,initial_modulus_Pa,5,5,1.0
ceramic_or_glass_comparator,breaking_strain,breaking_strain_fraction,5,5,1.0
ceramic_or_glass_comparator,work_of_rupture,rupture_work_J_kg,2,5,0.4
ceramic_or_glass_comparator,electrical_conductivity,electrical_conductivity_S_m,3,5,0.6
ceramic_or_glass_comparator,specific_electrical_conductivity,specific_electrical_conductivity_S_m2_kg,3,5,0.6
ceramic_or_glass_comparator,thermal_conductivity,thermal_conductivity_W_mK,3,5,0.6
ceramic_or_glass_comparator,specific_thermal_conductivity,specific_thermal_conductivity_W_m2_K_kg,3,5,0.6
ceramic_or_glass_comparator,g_d_ratio,g_d_ratio,0,5,0.0
ceramic_or_glass_comparator,ampacity,ampacity_A_m2,0,5,0.0
graphene_or_GO_fiber,density,density_kg_m3,17,21,0.8095
graphene_or_GO_fiber,specific_volume,specific_volume_m3_kg,17,21,0.8095
graphene_or_GO_fiber,diameter,diameter_m,0,21,0.0
graphene_or_GO_fiber,linear_density,linear_density_kg_m,0,21,0.0
graphene_or_GO_fiber,specific_strength,specific_strength_N_m_kg,11,21,0.5238
graphene_or_GO_fiber,tensile_strength,tensile_strength_Pa,17,21,0.8095
graphene_or_GO_fiber,specific_modulus,specific_modulus_N_m_kg,8,21,0.381
graphene_or_GO_fiber,initial_modulus,initial_modulus_Pa,4,21,0.1905
graphene_or_GO_fiber,breaking_strain,breaking_strain_fraction,8,21,0.381
graphene_or_GO_fiber,work_of_rupture,rupture_work_J_kg,14,21,0.6667
graphene_or_GO_fiber,electrical_conductivity,electrical_conductivity_S_m,16,21,0.7619
graphene_or_GO_fiber,specific_electrical_conductivity,specific_electrical_conductivity_S_m2_kg,14,21,0.6667
graphene_or_GO_fiber,thermal_conductivity,thermal_conductivity_W_mK,3,21,0.1429
graphene_or_GO_fiber,specific_thermal_conductivity,specific_thermal_conductivity_W_m2_K_kg,2,21,0.0952
graphene_or_GO_fiber,g_d_ratio,g_d_ratio,0,21,0.0
graphene_or_GO_fiber,ampacity,ampacity_A_m2,3,21,0.1429
metal_comparator,density,density_kg_m3,34,47,0.7234
metal_comparator,specific_volume,specific_volume_m3_kg,34,47,0.7234
metal_comparator,diameter,diameter_m,15,47,0.3191
metal_comparator,linear_density,linear_density_kg_m,0,47,0.0
metal_comparator,specific_strength,specific_strength_N_m_kg,10,47,0.2128
metal_comparator,tensile_strength,tensile_strength_Pa,12,47,0.2553
metal_comparator,specific_modulus,specific_modulus_N_m_kg,1,47,0.0213
metal_comparator,initial_modulus,initial_modulus_Pa,9,47,0.1915
metal_comparator,breaking_strain,breaking_strain_fraction,1,47,0.0213
metal_comparator,work_of_rupture,rupture_work_J_kg,4,47,0.0851
metal_comparator,electrical_conductivity,electrical_conductivity_S_m,27,47,0.5745
metal_comparator,specific_electrical_conductivity,specific_electrical_conductivity_S_m2_kg,20,47,0.4255
metal_comparator,thermal_conductivity,thermal_conductivity_W_mK,10,47,0.2128
metal_comparator,specific_thermal_conductivity,specific_thermal_conductivity_W_m2_K_kg,10,47,0.2128
metal_comparator,g_d_ratio,g_d_ratio,1,47,0.0213
metal_comparator,ampacity,ampacity_A_m2,21,47,0.4468
other_carbon_comparator,density,density_kg_m3,15,105,0.1429
other_carbon_comparator,specific_volume,specific_volume_m3_kg,15,105,0.1429
other_carbon_comparator,diameter,diameter_m,21,105,0.2
other_carbon_comparator,linear_density,linear_density_kg_m,0,105,0.0
other_carbon_comparator,specific_strength,specific_strength_N_m_kg,6,105,0.0571
other_carbon_comparator,tensile_strength,tensile_strength_Pa,7,105,0.0667
other_carbon_comparator,specific_modulus,specific_modulus_N_m_kg,0,105,0.0
other_carbon_comparator,initial_modulus,initial_modulus_Pa,4,105,0.0381
other_carbon_comparator,breaking_strain,breaking_strain_fraction,0,105,0.0
other_carbon_comparator,work_of_rupture,rupture_work_J_kg,0,105,0.0
other_carbon_comparator,electrical_conductivity,electrical_conductivity_S_m,96,105,0.9143
other_carbon_comparator,specific_electrical_conductivity,specific_electrical_conductivity_S_m2_kg,18,105,0.1714
other_carbon_comparator,thermal_conductivity,thermal_conductivity_W_mK,4,105,0.0381
other_carbon_comparator,specific_thermal_conductivity,specific_thermal_conductivity_W_m2_K_kg,0,105,0.0
other_carbon_comparator,g_d_ratio,g_d_ratio,0,105,0.0
other_carbon_comparator,ampacity,ampacity_A_m2,1,105,0.0095
polymer_fiber_comparator,density,density_kg_m3,27,98,0.2755
polymer_fiber_comparator,specific_volume,specific_volume_m3_kg,27,98,0.2755
polymer_fiber_comparator,diameter,diameter_m,5,98,0.051
polymer_fiber_comparator,linear_density,linear_density_kg_m,6,98,0.0612
polymer_fiber_comparator,specific_strength,specific_strength_N_m_kg,24,98,0.2449
polymer_fiber_comparator,tensile_strength,tensile_strength_Pa,32,98,0.3265
polymer_fiber_comparator,specific_modulus,specific_modulus_N_m_kg,20,98,0.2041
polymer_fiber_comparator,initial_modulus,initial_modulus_Pa,32,98,0.3265
polymer_fiber_comparator,breaking_strain,breaking_strain_fraction,20,98,0.2041
polymer_fiber_comparator,work_of_rupture,rupture_work_J_kg,8,98,0.0816
polymer_fiber_comparator,electrical_conductivity,electrical_conductivity_S_m,67,98,0.6837
polymer_fiber_comparator,specific_electrical_conductivity,specific_electrical_conductivity_S_m2_kg,7,98,0.0714
polymer_fiber_comparator,thermal_conductivity,thermal_conductivity_W_mK,11,98,0.1122
polymer_fiber_comparator,specific_thermal_conductivity,specific_thermal_conductivity_W_m2_K_kg,10,98,0.102
polymer_fiber_comparator,g_d_ratio,g_d_ratio,3,98,0.0306
polymer_fiber_comparator,ampacity,ampacity_A_m2,8,98,0.0816
