reference_raw,reference_normalized,row_count,year_hint,query_title,resolved_doi,resolved_title,resolved_journal,resolved_year,resolved_source,match_score,resolution_status,candidate_json
2020_Gas infiltration of bromine to enhance the electrical conductivity of carbon nanotube fibers,gas infiltration of bromine to enhance the electrical conductivity of carbon nanotube fibers,8,2020.0,Gas infiltration of bromine to enhance the electrical conductivity of carbon nanotube fibers,,,,,,1.0,candidate_below_threshold,"[{""api_error"": null, ""api_score"": 54.76999, ""api_status"": 200, ""doi"": ""10.1016/j.matdes.2018.08.030"", ""journal"": ""Materials &amp; Design"", ""match_score"": 1.0, ""source"": ""crossref"", ""title"": ""Gas infiltration of bromine to enhance the electrical conductivity of carbon nanotube fibers"", ""year"": 2018}, {""api_error"": null, ""api_score"": 2575.4832, ""api_status"": 200, ""doi"": ""10.1016/j.matdes.2018.08.030"", ""journal"": ""Materials & Design"", ""match_score"": 1.0, ""source"": ""openalex"", ""title"": ""Gas infiltration of bromine to enhance the electrical conductivity of carbon nanotube fibers"", ""year"": 2018}, {""api_error"": null, ""api_score"": 185.5748, ""api_status"": 200, ""doi"": ""10.3389/fmats.2019.00115"", ""journal"": ""Frontiers in Materials"", ""match_score"": 0.5405405405405406, ""source"": ""openalex"", ""title"": ""Strategies to Enhance the Performance of Electrochemical Capacitors Based on Carbon Materials"", ""year"": 2019}, {""api_error"": null, ""api_score"": 34.739647, ""api_status"": 200, ""doi"": ""10.1021/acs.chemmater.1c02754.s003"", ""journal"": null, ""match_score"": 0.5821596244131455, ""source"": ""crossref"", ""title"": ""OrganicInorganic Hybrid Conductive Network to Enhance the Electrical Conductivity of Graphene-Hybridized Polymeric Fibers"", ""year"": null}, {""api_error"": null, ""api_score"": 34.739647, ""api_status"": 200, ""doi"": ""10.1021/acs.chemmater.1c02754.s004"", ""journal"": null, ""match_score"": 0.5821596244131455, ""source"": ""crossref"", ""title"": ""OrganicInorganic Hybrid Conductive Network to Enhance the Electrical Conductivity of Graphene-Hybridized Polymeric Fibers"", ""year"": null}]"
2007 Structure-Dependent Electrical Properties of Carbon NanotubeFibers,structure dependent electrical properties of carbon nanotubefibers,6,2007.0,Structure-Dependent Electrical Properties of Carbon NanotubeFibers,,,,,,0.7861,candidate_below_threshold,"[{""api_error"": null, ""api_score"": 26.972181, ""api_status"": 200, ""doi"": ""10.1016/j.carbon.2015.06.044"", ""journal"": ""Carbon"", ""match_score"": 0.7861417322834646, ""source"": ""crossref"", ""title"": ""Time-dependent electrical properties of carbon nanotube yarns"", ""year"": 2015}, {""api_error"": null, ""api_score"": 25.008898, ""api_status"": 200, ""doi"": ""10.1016/s1872-5805(15)60186-x"", ""journal"": ""New Carbon Materials"", ""match_score"": 0.7861417322834646, ""source"": ""crossref"", ""title"": ""Time-dependent electrical properties of carbon nanotube yarns"", ""year"": 2015}, {""api_error"": null, ""api_score"": 28.884262, ""api_status"": 200, ""doi"": ""10.1021/acs.nanolett.7b03390.s001"", ""journal"": null, ""match_score"": 0.7832167832167832, ""source"": ""crossref"", ""title"": ""Spatial and Contamination-Dependent Electrical Properties of Carbon Nanotubes"", ""year"": null}, {""api_error"": null, ""api_score"": 25.18797, ""api_status"": 200, ""doi"": ""10.1016/s0008-6223(01)00174-9"", ""journal"": ""Carbon"", ""match_score"": 0.7063247863247863, ""source"": ""crossref"", ""title"": ""Structure and electrical properties of carbon black"", ""year"": 2002}, {""api_error"": null, ""api_score"": 23.982876, ""api_status"": 200, ""doi"": ""10.1016/j.jallcom.2017.07.015"", ""journal"": ""Journal of Alloys and Compounds"", ""match_score"": 0.5578378378378379, ""source"": ""crossref"", ""title"": ""Structure dependent magnetic and electrical properties of graphitic carbon encapsulated Ni/NiO core/shell nanoparticles"", ""year"": 2017}]"
2017_High-modulus and strength carbon nanotube fibers using molecularCrossLinking,high modulus and strength carbon nanotube fibers using molecularcrosslinking,6,2017.0,High-modulus and strength carbon nanotube fibers using molecularCrossLinking,,,,,,0.5166,candidate_below_threshold,"[{""api_error"": null, ""api_score"": 39.673836, ""api_status"": 200, ""doi"": ""10.1016/0008-6223(91)90083-u"", ""journal"": ""Carbon"", ""match_score"": 0.5165562913907285, ""source"": ""crossref"", ""title"": ""4915926 Balanced ultra-high modulus and high tensile strength carbon fibers"", ""year"": 1991}, {""api_error"": null, ""api_score"": 38.73606, ""api_status"": 200, ""doi"": ""10.1016/0008-6223(69)90551-x"", ""journal"": ""Carbon"", ""match_score"": 0.4383561643835616, ""source"": ""crossref"", ""title"": ""22. High strength, high-modulus graphite fibers: a review (Plenary Lecture)"", ""year"": 1969}, {""api_error"": null, ""api_score"": 42.916557, ""api_status"": 200, ""doi"": ""10.1021/jacs.4c01705.s001"", ""journal"": null, ""match_score"": 0.4777777777777778, ""source"": ""crossref"", ""title"": ""Kinetic Modulation of Carbon Nanotube Growth in Direct Spinning for High-Strength Carbon Nanotube Fibers"", ""year"": null}, {""api_error"": null, ""api_score"": 42.591686, ""api_status"": 200, ""doi"": ""10.1021/jacs.4c01705.s002"", ""journal"": null, ""match_score"": 0.4777777777777778, ""source"": ""crossref"", ""title"": ""Kinetic Modulation of Carbon Nanotube Growth in Direct Spinning for High-Strength Carbon Nanotube Fibers"", ""year"": null}, {""api_error"": null, ""api_score"": 40.2008, ""api_status"": 200, ""doi"": ""10.1016/0008-6223(68)90361-8"", ""journal"": ""Carbon"", ""match_score"": 0.42276422764227645, ""source"": ""crossref"", ""title"": ""58. High strength and high modulus carbon fibers"", ""year"": 1968}]"
2005 Charge transfer and Fermi level shift in p-doped single-walled carbon nanotubes,charge transfer and fermi level shift in p doped single walled carbon nanotubes,3,2005.0,Charge transfer and Fermi level shift in p-doped single-walled carbon nanotubes,,,,,,0.7171,candidate_below_threshold,"[{""api_error"": null, ""api_score"": 50.347946, ""api_status"": 200, ""doi"": ""10.1103/physrevb.71.205423"", ""journal"": ""Physical Review B"", ""match_score"": 0.7170967741935483, ""source"": ""crossref"", ""title"": ""Charge transfer and Fermi level shift in<mml:math xmlns:mml=\""http://www.w3.org/1998/Math/MathML\"" display=\""inline\""><mml:mi>p</mml:mi></mml:math>-doped single-walled carbon nanotubes"", ""year"": 2005}, {""api_error"": null, ""api_score"": 1863.1979, ""api_status"": 200, ""doi"": ""10.1103/physrevb.71.205423"", ""journal"": ""Physical Review B"", ""match_score"": 0.7170967741935483, ""source"": ""openalex"", ""title"": ""Charge transfer and Fermi level shift in<mml:math xmlns:mml=\""http://www.w3.org/1998/Math/MathML\"" display=\""inline\""><mml:mi>p</mml:mi></mml:math>-doped single-walled carbon nanotubes"", ""year"": 2005}, {""api_error"": null, ""api_score"": 49.7857, ""api_status"": 200, ""doi"": ""10.18297/etd/8"", ""journal"": null, ""match_score"": 0.6257668711656442, ""source"": ""crossref"", ""title"": ""Electrochemically mediated charge transfer effects on single-walled carbon nanotubes."", ""year"": null}, {""api_error"": null, ""api_score"": 50.3027, ""api_status"": 200, ""doi"": ""10.1103/physrevb.71.239903"", ""journal"": ""Physical Review B"", ""match_score"": 0.5410169491525424, ""source"": ""crossref"", ""title"": ""Publisher's Note: Charge transfer and Fermi level shift in<mml:math xmlns:mml=\""http://www.w3.org/1998/Math/MathML\"" display=\""inline\""><mml:mi>p</mml:mi></mml:math>-doped single-walled carbon nanotubes [Phys. Rev. B<b>71</b>, 205423 (2005)]"", ""year"": 2005}, {""api_error"": null, ""api_score"": 1242.826, ""api_status"": 200, ""doi"": ""10.1021/ja8038689"", ""journal"": ""Journal of the American Chemical Society"", ""match_score"": 0.5038509316770187, ""source"": ""openalex"", ""title"": ""Fermi Level Engineering of Single-Walled Carbon Nanotubes by AuCl<sub>3</sub> Doping"", ""year"": 2008}]"
2015 The Structural and Electronic Properties of Carbon Nanotubes,the structural and electronic properties of carbon nanotubes,3,2015.0,The Structural and Electronic Properties of Carbon Nanotubes,,,,,,0.7319,candidate_below_threshold,"[{""api_error"": null, ""api_score"": 32.0157, ""api_status"": 200, ""doi"": ""10.1002/9783527618040.ch3"", ""journal"": ""Carbon Nanotubes"", ""match_score"": 0.731881188118812, ""source"": ""crossref"", ""title"": ""Electronic Properties of Carbon Nanotubes"", ""year"": 2004}, {""api_error"": null, ""api_score"": 2028.862, ""api_status"": 200, ""doi"": ""10.1002/pssb.200405253"", ""journal"": ""physica status solidi (b)"", ""match_score"": 0.7094736842105264, ""source"": ""openalex"", ""title"": ""Hydrostatic pressure effects on the structural and electronic properties of carbon nanotubes"", ""year"": 2004}, {""api_error"": null, ""api_score"": 36.8231, ""api_status"": 200, ""doi"": ""10.1016/b978-0-08-042682-2.50010-2"", ""journal"": ""Carbon Nanotubes"", ""match_score"": 0.6613793103448277, ""source"": ""crossref"", ""title"": ""ELECTRONIC AND STRUCTURAL PROPERTIES OF CARBON NANOTUBES"", ""year"": 1996}, {""api_error"": null, ""api_score"": 33.691696, ""api_status"": 200, ""doi"": ""10.1016/0008-6223(95)00018-9"", ""journal"": ""Carbon"", ""match_score"": 0.6613793103448277, ""source"": ""crossref"", ""title"": ""Electronic and structural properties of carbon nanotubes"", ""year"": 1995}, {""api_error"": null, ""api_score"": 2003.6853, ""api_status"": 200, ""doi"": ""10.1016/0008-6223(95)00018-9"", ""journal"": ""Carbon"", ""match_score"": 0.6613793103448277, ""source"": ""openalex"", ""title"": ""Electronic and structural properties of carbon nanotubes"", ""year"": 1995}]"
1996 Crystaline ropes of metallic carbon nanotubes,crystaline ropes of metallic carbon nanotubes,2,1996.0,Crystaline ropes of metallic carbon nanotubes,,,,,,0.989,candidate_below_threshold,"[{""api_error"": null, ""api_score"": 31.899254, ""api_status"": 200, ""doi"": ""10.1007/978-3-662-03569-6_3"", ""journal"": ""Springer Series in Materials Science"", ""match_score"": 0.989010989010989, ""source"": ""crossref"", ""title"": ""Crystalline Ropes of Metallic Carbon Nanotubes"", ""year"": 1998}, {""api_error"": null, ""api_score"": 35.595837, ""api_status"": 200, ""doi"": ""10.1002/chin.199921269"", ""journal"": ""ChemInform"", ""match_score"": 0.7308108108108109, ""source"": ""crossref"", ""title"": ""ChemInform Abstract: Crystalline Ropes of Metallic Carbon Nanotubes"", ""year"": 1999}, {""api_error"": null, ""api_score"": 28.469465, ""api_status"": 200, ""doi"": ""10.1063/1.1514113"", ""journal"": ""AIP Conference Proceedings"", ""match_score"": 0.4942574257425742, ""source"": ""crossref"", ""title"": ""Intrinsic Superconductivity in Ropes of Carbon Nanotubes"", ""year"": 2002}, {""api_error"": null, ""api_score"": 28.319534, ""api_status"": 200, ""doi"": ""10.1201/b11989-10"", ""journal"": ""Carbon Nanotubes and Their Applications"", ""match_score"": 0.49391304347826087, ""source"": ""crossref"", ""title"": ""Separation of Metallic and Semiconducting Single-Wall Carbon Nanotubes"", ""year"": 2012}, {""api_error"": null, ""api_score"": 28.489012, ""api_status"": 200, ""doi"": ""10.1021/ja7103069.s002"", ""journal"": null, ""match_score"": 0.49019607843137253, ""source"": ""crossref"", ""title"": ""Metallic Wires of Lanthanum Atoms Inside Carbon Nanotubes"", ""year"": null}]"
2003 Single-Wall Carbon Nanotube Films,single wall carbon nanotube films,2,2003.0,Single-Wall Carbon Nanotube Films,,,,,,0.6874,candidate_below_threshold,"[{""api_error"": null, ""api_score"": 5748.986, ""api_status"": 200, ""doi"": ""10.1063/1.122037"", ""journal"": ""Applied Physics Letters"", ""match_score"": 0.6874418604651164, ""source"": ""openalex"", ""title"": ""Field emission from single-wall carbon nanotube films"", ""year"": 1998}, {""api_error"": null, ""api_score"": 4283.521, ""api_status"": 200, ""doi"": ""10.1021/nl0491935"", ""journal"": ""Nano Letters"", ""match_score"": 0.651822429906542, ""source"": ""openalex"", ""title"": ""Solution Casting and Transfer Printing Single-Walled Carbon Nanotube Films"", ""year"": 2004}, {""api_error"": null, ""api_score"": 38.550434, ""api_status"": 200, ""doi"": ""10.15388/vu.thesis.77"", ""journal"": null, ""match_score"": 0.5196850393700787, ""source"": ""crossref"", ""title"": ""Charge carrier generation and motion in single wall carbon nanotube/fullerene derivative films"", ""year"": null}, {""api_error"": null, ""api_score"": 4385.486, ""api_status"": 200, ""doi"": ""10.1126/science.1125695"", ""journal"": ""Science"", ""match_score"": 0.49391304347826087, ""source"": ""openalex"", ""title"": ""Bolometric Infrared Photoresponse of Suspended Single-Walled Carbon Nanotube Films"", ""year"": 2006}, {""api_error"": null, ""api_score"": 39.226837, ""api_status"": 200, ""doi"": ""10.1021/nl062418m.s001"", ""journal"": null, ""match_score"": 0.5365853658536586, ""source"": ""crossref"", ""title"": ""Voltage-Induced Dependence of Raman-Active Modes in Single-Wall Carbon Nanotube Thin Films"", ""year"": null}]"
2008_Highly Dense and Perfectly Aligned SWCNT fabricated by Diamond Wire Drawing Dies,highly dense and perfectly aligned swcnt fabricated by diamond wire drawing dies,2,2008.0,Highly Dense and Perfectly Aligned SWCNT fabricated by Diamond Wire Drawing Dies,,,,,,0.8649,candidate_below_threshold,"[{""api_error"": null, ""api_score"": 55.399456, ""api_status"": 200, ""doi"": ""10.1021/nl073007o"", ""journal"": ""Nano Letters"", ""match_score"": 0.8648648648648649, ""source"": ""crossref"", ""title"": ""Highly Dense and Perfectly Aligned Single-Walled Carbon Nanotubes Fabricated by Diamond Wire Drawing Dies"", ""year"": 2008}, {""api_error"": null, ""api_score"": 70.891716, ""api_status"": 200, ""doi"": ""10.1038/s41467-023-36082-2"", ""journal"": ""Nature Communications"", ""match_score"": 0.35121951219512193, ""source"": ""openalex"", ""title"": ""Acid enhanced zipping effect to densify MWCNT packing for multifunctional MWCNT films with ultra-high electrical conductivity"", ""year"": 2023}, {""api_error"": null, ""api_score"": 50.750763, ""api_status"": 200, ""doi"": ""10.3403/10053284"", ""journal"": null, ""match_score"": 0.3669724770642202, ""source"": ""crossref"", ""title"": ""Diamond dies for wire drawing"", ""year"": null}, {""api_error"": null, ""api_score"": 50.606308, ""api_status"": 200, ""doi"": ""10.3403/10053284u"", ""journal"": null, ""match_score"": 0.3669724770642202, ""source"": ""crossref"", ""title"": ""Diamond dies for wire drawing"", ""year"": null}, {""api_error"": null, ""api_score"": 48.913525, ""api_status"": 200, ""doi"": ""10.3403/30306740u"", ""journal"": null, ""match_score"": 0.3548387096774194, ""source"": ""crossref"", ""title"": ""Diamond dies for wire drawing, non-reinforced"", ""year"": null}]"
"1986 ELASTIC PROPERTIES, PAPER QUALITY, AND PROCESS CONTROL",elastic properties paper quality and process control,1,1986.0,"ELASTIC PROPERTIES, PAPER QUALITY, AND PROCESS CONTROL",,,,,,0.5276,candidate_below_threshold,"[{""api_error"": null, ""api_score"": 24.415432, ""api_status"": 200, ""doi"": ""10.1016/b978-012445760-7/50056-3"", ""journal"": ""Handbook of Elastic Properties of Solids, Liquids, and Gases"", ""match_score"": 0.5275949367088608, ""source"": ""crossref"", ""title"": ""Elastic Properties of Paper"", ""year"": 2001}, {""api_error"": null, ""api_score"": 23.414242, ""api_status"": 200, ""doi"": ""10.4271/670450"", ""journal"": ""SAE Technical Paper Series"", ""match_score"": 0.4654545454545454, ""source"": ""crossref"", ""title"": ""Design and Implementation of Delco Operational, Quality, and Process Control Computer Systems"", ""year"": 1967}, {""api_error"": null, ""api_score"": 24.069729, ""api_status"": 200, ""doi"": ""10.4271/972203"", ""journal"": ""SAE Technical Paper Series"", ""match_score"": 0.4298039215686274, ""source"": ""crossref"", ""title"": ""Quality Systems Management--A Process Control Model"", ""year"": 1997}, {""api_error"": null, ""api_score"": 25.495422, ""api_status"": 200, ""doi"": ""10.4271/840568"", ""journal"": ""SAE Technical Paper Series"", ""match_score"": 0.35294117647058826, ""source"": ""crossref"", ""title"": ""Process Quality, Implementing Statistical Quality Control in an Aluminum Sand Foundry"", ""year"": 1984}, {""api_error"": null, ""api_score"": 23.679674, ""api_status"": 200, ""doi"": ""10.4271/2020-01-0480"", ""journal"": ""SAE Technical Paper Series"", ""match_score"": 0.3302564102564102, ""source"": ""crossref"", ""title"": ""Automotive Dimensional Quality Control with Geometry Tree Process"", ""year"": 2020}]"
1988_Synthesis and Characteristics of Oriented Pac films,synthesis and characteristics of oriented pac films,1,1988.0,Synthesis and Characteristics of Oriented Pac films,,,,,,0.5091,candidate_below_threshold,"[{""api_error"": null, ""api_score"": 22.305244, ""api_status"": 200, ""doi"": ""10.1021/acsami.6b06765.s001"", ""journal"": null, ""match_score"": 0.509090909090909, ""source"": ""crossref"", ""title"": ""Synthesis and Nanofiltration Membrane Performance of Oriented Mesoporous Silica Thin Films on Macroporous Supports"", ""year"": null}, {""api_error"": null, ""api_score"": 157.21696, ""api_status"": 200, ""doi"": ""10.3390/catal9010052"", ""journal"": ""Catalysts"", ""match_score"": 0.4539877300613497, ""source"": ""openalex"", ""title"": ""A Review on the Synthesis and Characterization of Metal Organic Frameworks for Photocatalytic Water Purification"", ""year"": 2019}, {""api_error"": null, ""api_score"": 213.71371, ""api_status"": 200, ""doi"": ""10.1098/rsos.191378"", ""journal"": ""Royal Society Open Science"", ""match_score"": 0.38461538461538464, ""source"": ""openalex"", ""title"": ""Greener synthesis of chemical compounds and materials"", ""year"": 2019}, {""api_error"": null, ""api_score"": 21.934753, ""api_status"": 200, ""doi"": ""10.1021/acs.inorgchem.2c02490.s001"", ""journal"": null, ""match_score"": 0.3973509933774834, ""source"": ""crossref"", ""title"": ""Vapor-Assisted Powder Synthesis and Oriented MOF-CVD Thin Films of the MetalOrganic Framework HKUST1"", ""year"": null}, {""api_error"": null, ""api_score"": 22.32063, ""api_status"": 200, ""doi"": ""10.1021/jacs.7b08174.s001"", ""journal"": null, ""match_score"": 0.379746835443038, ""source"": ""crossref"", ""title"": ""On-Surface Synthesis of Highly Oriented Thin MetalOrganic Framework Films through Vapor-Assisted Conversion"", ""year"": null}]"
"2002 Thermal conductivity of multiwalled carbon nanotubes
Da",thermal conductivity of multiwalled carbon nanotubes da,1,2002.0,Thermal conductivity of multiwalled carbon nanotubes Da,,,,,,0.8644,candidate_below_threshold,"[{""api_error"": null, ""api_score"": 39.110138, ""api_status"": 200, ""doi"": ""10.1021/acs.jpcc.9b00692.s001"", ""journal"": null, ""match_score"": 0.864406779661017, ""source"": ""crossref"", ""title"": ""Thermal Conductivity of a Supported Multiwalled Carbon Nanotube"", ""year"": null}, {""api_error"": null, ""api_score"": 36.147625, ""api_status"": 200, ""doi"": ""10.1016/j.ijthermalsci.2012.03.003"", ""journal"": ""International Journal of Thermal Sciences"", ""match_score"": 0.8013559322033899, ""source"": ""crossref"", ""title"": ""Thermal conductivity of individual multiwalled carbon nanotubes"", ""year"": 2012}, {""api_error"": null, ""api_score"": 968.57306, ""api_status"": 200, ""doi"": ""10.1007/s10853-019-03368-0"", ""journal"": ""Journal of Materials Science"", ""match_score"": 0.67, ""source"": ""openalex"", ""title"": ""Thermal conductivity of carbon nanotube networks: a review"", ""year"": 2019}, {""api_error"": null, ""api_score"": 40.031414, ""api_status"": 200, ""doi"": ""10.1103/physrevb.77.075424"", ""journal"": ""Physical Review B"", ""match_score"": 0.6682014388489209, ""source"": ""crossref"", ""title"": ""Thermal boundary resistance and thermal conductivity of multiwalled carbon nanotubes"", ""year"": 2008}, {""api_error"": null, ""api_score"": 40.032806, ""api_status"": 200, ""doi"": ""10.1080/1536383x.2017.1289923"", ""journal"": ""Fullerenes, Nanotubes and Carbon Nanostructures"", ""match_score"": 0.5336363636363637, ""source"": ""crossref"", ""title"": ""Bulk thermal conductivity studies of Sn/SnO coated and filled multiwalled carbon nanotubes for thermal interface material"", ""year"": 2017}]"
2007_Electrical and thermal properties of carbon nanotube bulk materials: Experimental studies for the 328-958 K temperature range,electrical and thermal properties of carbon nanotube bulk materials experimental studies for the 328 958 k temperature range,1,2007.0,Electrical and thermal properties of carbon nanotube bulk materials: Experimental studies for the 328-958 K temperature range,,,,,,0.5636,candidate_below_threshold,"[{""api_error"": null, ""api_score"": 50.11318, ""api_status"": 200, ""doi"": ""10.1103/physrevb.75.205407"", ""journal"": ""Physical Review B"", ""match_score"": 0.5636363636363636, ""source"": ""crossref"", ""title"": ""Electrical and thermal properties of carbon nanotube bulk materials: Experimental studies for the<mml:math xmlns:mml=\""http://www.w3.org/1998/Math/MathML\"" display=\""inline\""><mml:mrow><mml:mn>328</mml:mn><mml:mo>–</mml:mo><mml:mn>958</mml:mn><mml:mspace width=\""0.3em\""/><mml:mi mathvariant=\""normal\"">K</mml:mi></mml:mrow></mml:math>temperature range"", ""year"": 2007}, {""api_error"": null, ""api_score"": 1037.7458, ""api_status"": 200, ""doi"": ""10.1103/physrevb.75.205407"", ""journal"": ""Physical Review B"", ""match_score"": 0.5636363636363636, ""source"": ""openalex"", ""title"": ""Electrical and thermal properties of carbon nanotube bulk materials: Experimental studies for the<mml:math xmlns:mml=\""http://www.w3.org/1998/Math/MathML\"" display=\""inline\""><mml:mrow><mml:mn>328</mml:mn><mml:mo>–</mml:mo><mml:mn>958</mml:mn><mml:mspace width=\""0.3em\""/><mml:mi mathvariant=\""normal\"">K</mml:mi></mml:mrow></mml:math>temperature range"", ""year"": 2007}, {""api_error"": null, ""api_score"": 36.01972, ""api_status"": 200, ""doi"": ""10.2139/ssrn.4194318"", ""journal"": ""SSRN Electronic Journal"", ""match_score"": 0.5565217391304348, ""source"": ""crossref"", ""title"": ""Electrical and Thermal Properties of Epoxy Composites Containing Graphene-Carbon Nanotube Hybrid Materials"", ""year"": 2022}, {""api_error"": null, ""api_score"": 41.10356, ""api_status"": 200, ""doi"": ""10.1016/j.msea.2006.01.055"", ""journal"": ""Materials Science and Engineering: A"", ""match_score"": 0.5229357798165137, ""source"": ""crossref"", ""title"": ""High temperature electrical and thermal properties of the bulk carbon nanotube prepared by SPS"", ""year"": 2006}, {""api_error"": null, ""api_score"": 35.117516, ""api_status"": 200, ""doi"": ""10.1533/9780857091390.2.295"", ""journal"": ""Polymer–Carbon Nanotube Composites"", ""match_score"": 0.4462809917355372, ""source"": ""crossref"", ""title"": ""Influence of thermo-rheological history on electrical and rheological properties of polymer–carbon nanotube composites"", ""year"": 2011}]"
Need a reference,need a reference,1,,Need a reference,,,,,,0.0,insufficient_reference_text,[]
https://www.clearwatercomposites.com/resources/properties-of-carbon-fiber/,https www clearwatercomposites com resources properties of carbon fiber,2,,https://www.clearwatercomposites.com/resources/properties-of-carbon-fiber/,,,,,,0.0,web_or_specsheet_reference,[]
http://www.matweb.com/search/datasheet_print.aspx?matguid=9aebe83845c04c1db5126fada6f76f7e,http www matweb com search datasheet print aspx matguid 9aebe83845c04c1db5126fada6f76f7e,1,,http://www.matweb.com/search/datasheet print.aspx?matguid=9aebe83845c04c1db5126fada6f76f7e,,,,,,0.0,web_or_specsheet_reference,[]
http://www.torayca.com/en/download/pdf/torayca_t1100g.pdf,http www torayca com en download pdf torayca t1100g pdf,1,,http://www.torayca.com/en/download/pdf/torayca t1100g.pdf,,,,,,0.0,web_or_specsheet_reference,[]
http://www.toyobo-global.com/seihin/kc/pbo/zylon_bussei.html,http www toyobo global com seihin kc pbo zylon bussei html,1,,http://www.toyobo-global.com/seihin/kc/pbo/zylon bussei.html,,,,,,0.0,web_or_specsheet_reference,[]
https://paperonweb.com/paperpro.htm#Strength%20Properties,https paperonweb com paperpro htm strength 20properties,1,,https://paperonweb.com/paperpro.htm#Strength%20Properties,,,,,,0.0,web_or_specsheet_reference,[]
https://www.christinedemerchant.com/aramid_characteristics.html,https www christinedemerchant com aramid characteristics html,1,,https://www.christinedemerchant.com/aramid characteristics.html,,,,,,0.0,web_or_specsheet_reference,[]
https://www.clearwatercomposites.com/resources/properties-of-carbon-fiber/          http://www.substech.com/dokuwiki/doku.php?id=alloy_steel_sae_4130,https www clearwatercomposites com resources properties of carbon fiber http www substech com dokuwiki doku php id alloy steel sae 4130,1,,https://www.clearwatercomposites.com/resources/properties-of-carbon-fiber/ http://www.substech.com/dokuwiki/doku.php?id=alloy steel sae 4130,,,,,,0.0,web_or_specsheet_reference,[]
https://www.toraycma.com/page.php?id=661,https www toraycma com page php id 661,1,,https://www.toraycma.com/page.php?id=661,,,,,,0.0,web_or_specsheet_reference,[]
